actual_index,orientation_type,character,rounded_character,representation_is_identity,orthogonality_max_abs,subspace_leakage_max_abs
271,reversing,2.7755575615628914e-16,0,False,4.440892098500626e-16,1.1657341758564144e-15
272,reversing,2.220446049250313e-16,0,False,2.1654398174452323e-16,1.2490009027033011e-15
273,preserving,-0.9999999999999998,-1,False,4.440892098500626e-16,1.6028844918025698e-15
274,reversing,1.0000000000000002,1,False,4.440892098500626e-16,1.3625803220539915e-15
275,preserving,1.0000000000000004,1,False,6.661338147750939e-16,1.4710455076283324e-15
276,reversing,-1.734723475976807e-16,0,False,4.440892098500626e-16,1.259409243559162e-15
277,reversing,-6.38378239159465e-16,0,False,5.551115123125783e-16,1.429412144204889e-15
278,preserving,-4.787836793695988e-16,0,False,6.661338147750939e-16,9.43689570931383e-16
279,preserving,-0.9999999999999998,-1,False,9.992007221626409e-16,1.2420620087993939e-15
280,preserving,-4.163336342344337e-16,0,False,4.412638533645575e-16,1.27675647831893e-15
281,reversing,-4.579669976578771e-16,0,False,5.551115123125783e-16,1.27675647831893e-15
282,preserving,-2.220446049250313e-16,0,False,4.440892098500626e-16,1.1657341758564144e-15
283,preserving,4.440892098500626e-16,0,False,7.771561172376096e-16,1.3877787807814457e-15
284,preserving,-0.9999999999999999,-1,False,5.551115123125783e-16,1.3322676295501878e-15
285,reversing,-0.9999999999999996,-1,False,4.440892098500626e-16,1.3322676295501878e-15
286,reversing,1.0000000000000002,1,False,3.8547083741452226e-16,1.3322676295501878e-15
287,reversing,0.9999999999999998,1,False,3.717362189091721e-16,1.2212453270876722e-15
288,reversing,-2.220446049250313e-16,0,False,5.551115123125783e-16,1.27675647831893e-15
289,preserving,-1.0,-1,False,7.771561172376096e-16,1.1102230246251565e-15
290,preserving,1.0000000000000004,1,False,6.661338147750939e-16,1.27675647831893e-15
291,reversing,0.9999999999999999,1,False,6.661338147750939e-16,1.2212453270876722e-15
292,preserving,-1.0000000000000007,-1,False,5.551115123125783e-16,1.27675647831893e-15
293,preserving,2.636779683484747e-16,0,False,5.551115123125783e-16,1.304512053934559e-15
294,reversing,3.0531133177191805e-16,0,False,8.881784197001252e-16,1.3010426069826053e-15
295,reversing,-8.326672684688674e-17,0,False,4.633465426338871e-16,1.27675647831893e-15
296,reversing,-2.7755575615628914e-17,0,False,6.661338147750939e-16,1.3877787807814457e-15
297,reversing,1.0,1,False,6.661338147750939e-16,1.339206523454095e-15
298,reversing,1.1102230246251565e-16,0,False,6.661338147750939e-16,1.582067810090848e-15
299,preserving,1.0,1,False,3.5334253799686983e-16,1.321859288694327e-15
300,preserving,-1.0000000000000004,-1,False,6.661338147750939e-16,1.4432899320127035e-15
301,preserving,-1.0000000000000004,-1,False,5.551115123125783e-16,1.5404344466674047e-15
302,preserving,4.440892098500626e-16,0,False,6.661338147750939e-16,1.3461454173580023e-15
303,reversing,4.996003610813204e-16,0,False,6.661338147750939e-16,1.2720148972807987e-15
304,preserving,-2.7755575615628914e-16,0,False,7.771561172376096e-16,1.1102230246251565e-15
305,reversing,-2.7755575615628914e-16,0,False,6.661338147750939e-16,1.5543122344752192e-15
306,reversing,0.9999999999999997,1,False,6.661338147750939e-16,1.2490009027033011e-15
307,reversing,-0.9999999999999996,-1,False,6.661338147750939e-16,1.27675647831893e-15
308,reversing,0.9999999999999998,1,False,7.771561172376096e-16,1.3322676295501878e-15
309,preserving,6.106226635438361e-16,0,False,8.881784197001252e-16,1.3877787807814457e-15
310,preserving,-1.0000000000000004,-1,False,2.240495174476421e-16,1.27675647831893e-15
311,preserving,0.0,0,False,4.440892098500626e-16,1.1102230246251565e-15
312,preserving,0.9999999999999993,1,False,4.440892098500626e-16,1.3426759704060487e-15
313,reversing,-1.9999999999999987,-2,False,9.992007221626409e-16,1.904726376622534e-15
314,preserving,2.000000000000001,2,False,8.881784197001252e-16,1.4988010832439613e-15
315,reversing,2.220446049250313e-16,0,False,4.440892098500626e-16,1.1657341758564144e-15
316,preserving,-1.6653345369377348e-16,0,False,2.688470553474869e-16,1.1657341758564144e-15
317,preserving,0.9999999999999996,1,False,4.440892098500626e-16,1.5681900222830336e-15
318,reversing,-1.0,-1,False,6.661338147750939e-16,1.609823385706477e-15
319,reversing,-1.0000000000000004,-1,False,4.440892098500626e-16,1.1657341758564144e-15
320,reversing,-1.9999999999999998,-2,False,4.440892098500626e-16,1.27675647831893e-15
321,preserving,-2.220446049250313e-16,0,False,6.661338147750939e-16,1.1102230246251565e-15
322,reversing,-2.0,-2,False,6.661338147750939e-16,1.27675647831893e-15
