coefficient_id,f0_power,f1_power,f2_power,f3_power,determinant_coefficient,candidate_coefficient,residual,coefficient_pass
343,1,1,8,2,6.645884936827528e-08,6.932913276549221e-08,-2.8702833972169272e-09,False
344,1,1,7,3,-1.1086291853030119e-07,-7.20860464960008e-08,-3.877687203430039e-08,False
345,1,1,6,4,-7.10288198986699e-07,-6.933097237950437e-07,-1.697847519165535e-08,False
346,1,1,5,5,-4.845706835252719e-07,-4.3034894395917367e-07,-5.422173956609819e-08,False
347,1,1,4,6,-1.0344398350715088e-06,-1.0051343040656578e-06,-2.9305531005851016e-08,False
348,1,1,3,7,-1.0358572502200721e-07,-7.658746779137748e-08,-2.6998257230629728e-08,False
349,1,1,2,8,-3.138972833928226e-07,-2.994144227259316e-07,-1.4482860666891016e-08,False
350,1,1,1,9,2.2835118168268328e-07,2.3118322283118075e-07,-2.8320411484974736e-09,False
351,1,1,0,10,3.968348654522209e-08,3.990378987244104e-08,-2.2030332721894423e-10,True
352,1,0,11,0,0.0,2.0276211867407953e-23,-2.0276211867407953e-23,True
353,1,0,10,1,0.0,-5.285755404496114e-10,5.285755404496114e-10,False
354,1,0,9,2,0.0,9.334478709155078e-09,-9.334478709155078e-09,False
355,1,0,8,3,-2.274047970192108e-08,-2.4185424270577737e-08,1.444944568656657e-09,False
356,1,0,7,4,5.162534640553551e-07,5.463280510220537e-07,-3.0074586966698655e-08,False
357,1,0,6,5,-3.6259251951443143e-07,-3.5949245141363027e-07,-3.100068100801159e-09,False
358,1,0,5,6,9.909494765798133e-07,1.031549597178719e-06,-4.0600120598905754e-08,False
359,1,0,4,7,-5.347027195998222e-07,-5.260390173766608e-07,-8.663702223161373e-09,False
360,1,0,3,8,5.088353665196566e-07,5.371497616539862e-07,-2.8314395134329607e-08,False
361,1,0,2,9,-1.9838428130448285e-07,-1.9349398173294567e-07,-4.890299571537187e-09,False
362,1,0,1,10,3.2634218811333476e-08,4.108860160430339e-08,-8.454382792969911e-09,False
363,1,0,0,11,5.304014116079036e-09,5.547048593464144e-09,-2.430344773851082e-10,True
364,0,12,0,0,7.209157149043681e-09,4.1253726915052226e-10,6.796619879893158e-09,False
365,0,11,1,0,-1.4105363013303353e-08,-1.5504834670868238e-08,1.3994716575648848e-09,False
366,0,11,0,1,-7.284428514913778e-08,-8.160471262217676e-08,8.760427473038977e-09,False
367,0,10,2,0,1.7569475747932309e-07,1.5322883337453855e-07,2.246592410478454e-08,False
368,0,10,1,1,3.4527124875278863e-09,-4.789405380900491e-09,8.242117868428377e-09,False
369,0,10,0,2,3.0126630090566655e-07,2.669743628827569e-07,3.429193802290966e-08,False
370,0,9,3,0,-1.7714242095832747e-07,-1.808474212600487e-07,3.705000301721228e-09,False
371,0,9,2,1,-8.73606745852822e-07,-9.145797049711703e-07,4.097295911834836e-08,False
372,0,9,1,2,1.2094437123700667e-07,9.878390111081325e-08,2.2160470126193422e-08,False
373,0,9,0,3,-5.989803516170877e-07,-6.192414019017211e-07,2.0261050284633346e-08,False
374,0,8,4,0,1.1713975494225625e-06,1.128766206931961e-06,4.2631342490601486e-08,False
375,0,8,3,1,-7.109066202399696e-07,-7.338958554049065e-07,2.298923516493685e-08,False
376,0,8,2,2,2.3322397765778062e-06,2.214618650338362e-06,1.1762112623944406e-07,False
377,0,8,1,3,-7.746134917096515e-08,-1.1834164925944448e-07,4.088030008847934e-08,False
378,0,8,0,4,6.214486211921755e-07,5.535721118575987e-07,6.787650933457689e-08,False
379,0,7,5,0,-3.0849296894823274e-07,-3.132736134653788e-07,4.78064451714604e-09,False
380,0,7,4,1,-1.8861108503956948e-06,-1.962619737068301e-06,7.650888667260607e-08,False
381,0,7,3,2,-9.807949986382758e-07,-1.0435636121918108e-06,6.2768613553535e-08,False
382,0,7,2,3,-1.6240900469165205e-06,-1.7306398411766898e-06,1.065497942601693e-07,False
383,0,7,1,4,-6.425411589359519e-07,-7.009133588285853e-07,5.8372199892633385e-08,False
384,0,7,0,5,-5.501337829798091e-07,-5.615847973732403e-07,1.145101439343112e-08,False
385,0,6,6,0,2.013983295996253e-06,1.9590648026414797e-06,5.4918493354773137e-08,False
386,0,6,5,1,-1.3576227697873415e-06,-1.3871045692632606e-06,2.948179947591905e-08,False
387,0,6,4,2,5.830402912011388e-06,5.622978907282074e-06,2.0742400472931417e-07,False
388,0,6,3,3,-1.300046662369635e-06,-1.4094281901921088e-06,1.0938152782247383e-07,False
389,0,6,2,4,4.9466519109875005e-06,4.734390337864344e-06,2.122615731231568e-07,False
390,0,6,1,5,-8.712980195430556e-07,-9.371442815766976e-07,6.5846262033642e-08,False
