start_id,root_pass,residual_norm,residual_max_abs,norm_residual,axis_distance,nearest_axis_id,success,status,function_evaluations,f0,f1,f2,f3
49,True,2.7194799110210365e-16,2.220446049250313e-16,0.0,0.41744238123296085,7,True,1,6,-0.038972364162520465,0.20084459127653878,0.9128709291752765,0.3532835570093963
50,True,3.946370472002463e-15,2.7200464103316335e-15,7.993605777301127e-15,0.8420246737858628,7,True,1,7,-0.5371773447420298,-0.30615270748546797,0.6454972243679026,0.44837969772119884
51,True,4.941739743737033e-16,4.440892098500626e-16,0.0,0.842024673785866,1,True,1,5,-0.043066174579319494,0.7191481709749331,-0.6454972243679009,0.25358341058485667
52,True,1.012983452169639e-15,6.661338147750939e-16,3.1086244689504383e-15,0.41744238123296196,0,True,1,8,0.7511635062560285,0.1252953539854557,0.45643546458763995,-0.4601316418216356
53,True,4.163336342344337e-16,3.3306690738754696e-16,2.220446049250313e-16,0.41744238123296273,0,True,1,5,0.7511635062560291,0.12529535398545494,0.45643546458764,-0.460131641821635
54,True,1.0788938578441582e-14,9.880984919163893e-15,2.4868995751603507e-14,0.8804857344718301,8,True,1,5,0.019051254620722824,0.6879709387049819,0.6123724356957997,-0.38901547166501754
55,True,8.934752161915345e-16,8.326672684688674e-16,2.220446049250313e-15,0.842024673785866,5,True,1,5,-0.06716431733343713,-0.1510738811498001,-0.6454972243679046,0.7456533847873291
56,True,1.6243534171511178e-16,1.1102230246251565e-16,2.220446049250313e-16,0.8804857344718371,8,True,1,6,-0.08714485551127087,0.44910215900750794,-0.4082482904638626,0.7899660488059272
57,True,7.535012591929473e-16,6.661338147750939e-16,1.1102230246251565e-15,0.4174423812329598,0,True,1,6,0.751163506256029,0.12529535398545674,0.45643546458763856,-0.4601316418216363
58,True,4.211628519682908e-16,3.3306690738754696e-16,0.0,0.8420246737858657,3,True,1,8,0.48206209878565287,0.5901898523980315,0.6454972243679041,0.05123869996489814
59,True,2.5133742693021536e-16,2.220446049250313e-16,2.220446049250313e-16,0.4174423812329595,1,True,1,6,0.3713217630891568,-0.0911873015561427,0.912870929175276,-0.14307931701660273
60,True,1.594436429147036e-15,1.2212453270876722e-15,2.4424906541753444e-15,0.8420246737858651,7,True,1,6,-0.5371773447420329,-0.3061527074854684,0.6454972243679012,0.44837969772119696
61,True,3.5679276983765555e-16,2.220446049250313e-16,0.0,0.8420246737858658,8,True,1,8,-0.5802435193213513,0.41299546348946314,1.476785573207439e-16,0.7019631083060535
62,True,2.159072196920268e-16,1.5612511283791264e-16,0.0,0.8420246737858658,2,True,1,8,0.9951413007735664,0.026120507758768945,5.511106092996511e-16,0.09492897644617392
63,True,3.77173161006475e-16,3.3306690738754696e-16,0.0,0.842024673785866,3,True,1,7,0.41489778145221523,0.43911597124823204,8.698120005520096e-16,0.7968920847522277
64,True,4.0436549343196473e-16,3.3306690738754696e-16,0.0,0.0,3,True,1,6,0.6223394934782107,0.7619318231460643,-0.16666666666666555,0.06614887721512223
65,True,5.72376375519372e-16,5.551115123125783e-16,8.881784197001252e-16,0.8420246737858654,8,True,1,8,0.024098142754118507,0.8702220521247326,3.1506353890383126e-15,-0.492069974202472
66,True,5.155369359468229e-16,4.440892098500626e-16,2.220446049250313e-16,0.0,2,True,1,9,-0.6623824015281937,0.7282103926313341,-0.16666666666666421,-0.05640390440106245
67,True,5.003707553108401e-16,4.440892098500626e-16,0.0,0.4174423812329606,1,True,1,7,0.3713217630891561,-0.09118730155614253,0.9128709291752763,-0.1430793170166024
68,True,1.942890293094024e-16,1.1102230246251565e-16,0.0,0.8420246737858658,3,True,1,8,0.48206209878565287,0.5901898523980313,0.6454972243679044,0.05123869996489808
69,True,2.3908451870383895e-17,2.2784152893822822e-17,0.0,0.0,9,True,1,7,-1.049628343232266e-15,-2.31072727428688e-15,1.0,2.184286339477261e-15
70,True,1.1443916996305594e-16,1.1102230246251565e-16,0.0,0.8420246737858658,3,True,1,8,0.48206209878565287,0.5901898523980313,0.6454972243679042,0.05123869996489827
71,True,1.743973642502996e-16,1.1102230246251565e-16,0.0,0.8420246737858658,8,True,1,6,-0.5802435193213513,0.41299546348946314,2.4470345327457856e-17,0.7019631083060535
72,True,1.3092278833360675e-16,1.1102230246251565e-16,0.0,0.8804857344718372,8,True,1,6,-0.08714485551127094,0.44910215900750783,-0.4082482904638625,0.7899660488059272
73,True,3.597533769998862e-16,3.3306690738754696e-16,2.220446049250313e-16,0.880485734471837,3,True,1,6,0.743155848281152,0.24520115404320492,0.40824829046386346,0.4700309697825612
74,True,3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,7,True,1,11,-0.07115347657039364,0.36669037731688703,0.6666666666666682,0.6450045778990249
