elementary_invariant,coefficient_id,f0_power,f1_power,f2_power,f3_power,target_coefficient,canonical_coefficient,residual,coefficient_pass
e4,41,3,2,3,0,-0.00013051313722186935,-0.0001305131372218692,-1.6263032587282567e-19,True
e4,42,3,2,2,1,-6.6656614733334556e-06,-6.665661473344758e-06,1.1302807648161384e-17,True
e4,43,3,2,1,2,0.0002947937761241308,0.0002947937761241294,1.4094628242311558e-18,True
e4,44,3,2,0,3,-0.00010750501980606988,-0.00010750501980607518,5.299038118022903e-18,True
e4,45,3,1,4,0,4.091725881202006e-05,4.091725881203351e-05,-1.345088320239829e-17,True
e4,46,3,1,3,1,0.0005238682619304957,0.0005238682619304988,-3.144186300207963e-18,True
e4,47,3,1,2,2,0.00011075348016929079,0.00011075348016932749,-3.6700243538634325e-17,True
e4,48,3,1,1,3,0.00042954089330070284,0.00042954089330070404,-1.1926223897340549e-18,True
e4,49,3,1,0,4,-3.8592172534599433e-05,-3.859217253458126e-05,-1.8173938916288268e-17,True
e4,50,3,0,5,0,-0.00010233712072349082,-0.00010233712072349105,2.303929616531697e-19,True
e4,51,3,0,4,1,-2.313680104854926e-05,-2.313680104855154e-05,2.2802126940085765e-18,True
e4,52,3,0,3,2,0.0002565342377776446,0.0002565342377776466,-2.0057740190981832e-18,True
e4,53,3,0,2,3,6.301193054545197e-05,6.301193054544578e-05,6.193504910323444e-18,True
e4,54,3,0,1,4,0.00035402308745026846,0.00035402308745027003,-1.5720931501039814e-18,True
e4,55,3,0,0,5,-3.989138536432399e-06,-3.989138536436558e-06,4.158931771018615e-18,True
e4,56,2,6,0,0,0.00044737563322073335,0.00044737563322073487,-1.5178830414797062e-18,True
e4,57,2,5,1,0,0.0005130082121543695,0.0005130082121543824,-1.2902005852577503e-17,True
e4,58,2,5,0,1,3.124464932180728e-05,3.124464932180436e-05,2.9205696021328276e-18,True
e4,59,2,4,2,0,0.0028013472152328845,0.002801347215232891,-6.5052130349130266e-18,True
e4,60,2,4,1,1,0.0003790939502210477,0.00037909395022105136,-3.686287386450715e-18,True
e4,61,2,4,0,2,0.002180782533137961,0.002180782533137962,-1.3010426069826053e-18,True
e4,62,2,3,3,0,0.0011610734719386462,0.0011610734719386788,-3.252606517456513e-17,True
e4,63,2,3,2,1,-0.00044684329759986526,-0.0004468432975998672,1.951563910473908e-18,True
e4,64,2,3,1,2,-6.115239788680118e-05,-6.115239788677321e-05,-2.7972416050126014e-17,True
e4,65,2,3,0,3,0.0011333431395288086,0.0011333431395288071,1.5178830414797062e-18,True
e4,66,2,2,4,0,0.00319068165770535,0.0031906816577053536,-3.469446951953614e-18,True
e4,67,2,2,3,1,0.001445646208112417,0.0014456462081124176,-6.505213034913027e-19,True
e4,68,2,2,2,2,0.005702258443858652,0.005702258443858649,3.469446951953614e-18,True
e4,69,2,2,1,3,0.0010735722679269372,0.0010735722679269413,-4.119968255444917e-18,True
e4,70,2,2,0,4,0.0026507649270037324,0.0026507649270037263,6.071532165918825e-18,True
e4,71,2,1,5,0,0.0005187614212692794,0.0005187614212692937,-1.431146867680866e-17,True
e4,72,2,1,4,1,-0.0008358312714688398,-0.0008358312714688383,-1.5178830414797062e-18,True
e4,73,2,1,3,2,-0.0001830704078368574,-0.00018307040783682903,-2.837899186480808e-17,True
e4,74,2,1,2,3,3.4715259354271616e-07,3.4715259354325826e-07,-5.421010862427522e-19,True
e4,75,2,1,1,4,-0.0004011181086231942,-0.00040111810862318033,-1.3877787807814457e-17,True
e4,76,2,1,0,5,0.001110008642735484,0.001110008642735485,-1.0842021724855044e-18,True
e4,77,2,0,6,0,0.0007014965169795159,0.0007014965169795138,2.0599841277224584e-18,True
e4,78,2,0,5,1,0.0009023904083297489,0.0009023904083297491,-2.168404344971009e-19,True
e4,79,2,0,4,2,0.002687912792033958,0.002687912792033953,5.204170427930421e-18,True
