elementary_invariant,row,column,row_monomial,column_monomial,numerator,denominator,exact_value,floating_value
e3,18,2,f2*f3^2,f0^2*f2,-12914628042753097551433419131,1565794097886905786682894032292,-12914628042753097551433419131/1565794097886905786682894032292,-0.00824797338307881
e3,18,3,f2*f3^2,f0^2*f3,-3775,1173476,-3775/1173476,-0.003216938394990609
e3,18,4,f2*f3^2,f0*f1^2,78846176615608127227719074293173067,11719329950372636323701793035241441464,78846176615608127227719074293173067/11719329950372636323701793035241441464,0.006727874114774034
e3,18,5,f2*f3^2,f0*f1*f2,103064858864422557329217895319677,19418365259220927057446282463721152,103064858864422557329217895319677/19418365259220927057446282463721152,0.005307597085984444
e3,18,6,f2*f3^2,f0*f1*f3,-18308,8286807,-18308/8286807,-0.002209294846615832
e3,18,7,f2*f3^2,f0*f2^2,1844,2137597,1844/2137597,0.0008626509112802834
e3,18,8,f2*f3^2,f0*f2*f3,1284705252189323327,789488633898763236600,1284705252189323327/789488633898763236600,0.001627262505154776
e3,18,9,f2*f3^2,f0*f3^2,-14577,5804419,-14577/5804419,-0.0025113624636677674
e3,18,10,f2*f3^2,f1^3,-1045,1695179,-1045/1695179,-0.00061645407358161
e3,18,11,f2*f3^2,f1^2*f2,15205,5790797,15205/5790797,0.0026257180142906064
e3,18,12,f2*f3^2,f1^2*f3,7477,3097746,7477/3097746,0.002413690470425916
e3,18,13,f2*f3^2,f1*f2^2,-56593,9869496,-56593/9869496,-0.005734132725723786
e3,18,14,f2*f3^2,f1*f2*f3,-1299313264693801992501,254554908558816895112564,-1299313264693801992501/254554908558816895112564,-0.0051042553924808155
e3,18,15,f2*f3^2,f1*f3^2,1079,1978320,1079/1978320,0.0005454122689959157
e3,18,16,f2*f3^2,f2^3,-1047095050470435,185141140525373764,-1047095050470435/185141140525373764,-0.005655658420916607
e3,18,17,f2*f3^2,f2^2*f3,-1195,6221834,-1195/6221834,-0.00019206555494730333
e3,18,18,f2*f3^2,f2*f3^2,3106,99361,3106/99361,0.03125974980122986
e3,19,0,f3^3,f0^3,-211110527354077,195843659305654202,-211110527354077/195843659305654202,-0.0010779543647343503
e3,19,1,f3^3,f0^2*f1,-1959,5236883,-1959/5236883,-0.0003740774808220844
e3,19,2,f3^3,f0^2*f2,22702,8778833,22702/8778833,0.0025859929218382443
e3,19,3,f3^3,f0^2*f3,-6296109518401,3134209943225088,-6296109518401/3134209943225088,-0.0020088346449192653
e3,19,4,f3^3,f0*f1^2,23673,9846167,23673/9846167,0.0024042858505243718
e3,19,5,f3^3,f0*f1*f2,-25384,4551589,-25384/4551589,-0.005576953455155991
e3,19,6,f3^3,f0*f1*f3,-9059,6287713,-9059/6287713,-0.0014407464208369561
e3,19,7,f3^3,f0*f2^2,-188,783423,-188/783423,-0.00023997253080392075
e3,19,8,f3^3,f0*f2*f3,124761853846031,34292293884207314,124761853846031/34292293884207314,0.003638189217300735
e3,19,9,f3^3,f0*f3^2,464623,8090927393,464623/8090927393,5.742518470774763e-05
e3,19,10,f3^3,f1^3,679,3596143,679/3596143,0.00018881340369390206
e3,19,11,f3^3,f1^2*f2,4515,7726807,4515/7726807,0.0005843293355198338
e3,19,12,f3^3,f1^2*f3,-305763188486821,51000923246913306,-305763188486821/51000923246913306,-0.005995248105735547
e3,19,13,f3^3,f1*f2^2,3341,3455773,3341/3455773,0.0009667880384504422
e3,19,14,f3^3,f1*f2*f3,-3412274836241,1643607404159280,-3412274836241/1643607404159280,-0.0020760887469878546
e3,19,15,f3^3,f1*f3^2,23756511,19986011492,23756511/19986011492,0.0011886569268465224
e3,19,16,f3^3,f2^3,-53034123616111,61975717075770898,-53034123616111/61975717075770898,-0.0008557242435980532
e3,19,17,f3^3,f2^2*f3,-11794892088713,1676407191801972,-11794892088713/1676407191801972,-0.007035815729252901
