sample_id,source_index,s4,s6,s8,residual_norm_squared,operator_norm,gap_0,gap_1,gap_2,gap_3,gap_4,gap_5,gap_determinant,elementary_1,elementary_2,elementary_3,elementary_4,elementary_5
1108,11081,1.104356167825243,0.5333582297641244,0.270743165352986,0.036629071094670326,0.28194908884012737,0.03161582241333309,0.03161582241333317,0.06622199633448186,0.0662219963344819,0.11049551458551846,0.11049551458551847,5.351836070684302e-08,0.416666666666667,0.06921138378664161,0.005839473632210513,0.00026291285138377806,5.970572123855771e-06
1109,11091,1.071346898643554,0.5605663255731775,0.31355644464132715,0.09783241414686651,0.28738769481810805,0.028519423978245063,0.028519423978245133,0.07688359138493711,0.0768835913849372,0.10293031797015134,0.1029303179701514,5.093724497789075e-08,0.41666666666666724,0.06948646102982245,0.005885486299690105,0.0002641283042859176,5.8868997967457405e-06
1110,11101,1.259728780001241,0.797997818460731,0.5566354281788544,0.11198572415984814,0.30789558949219986,0.01631141708236188,0.016311417082361928,0.08634987512550428,0.08634987512550434,0.10567204112546734,0.10567204112546734,2.2152717314023283e-08,0.41666666666666713,0.06791661201850832,0.005404724578904995,0.00021224780453567153,3.6485873489133983e-06
1111,11112,0.9002113911925164,0.36824449715290775,0.1609420384527992,0.046821445172677875,0.2555990072129545,0.04578025862286321,0.04578025862286324,0.06416832049191783,0.06416832049191794,0.09838475421855233,0.09838475421855236,8.353210745243636e-08,0.4166666666666669,0.07091259025858097,0.006309249366314383,0.00030962211918509735,7.95086444670144e-06
1112,11122,1.5421801742108212,1.1645939047376874,0.9390597617636539,0.010820942403113131,0.3289152852095639,0.00292584626662229,0.0029258462666223585,0.09439631590640227,0.09439631590640231,0.11101117116030859,0.11101117116030862,9.400402844752117e-10,0.41666666666666646,0.06556285040009492,0.004678001949103729,0.00013554223648735351,6.794295194929617e-07
1113,11132,1.0981163170543962,0.5275373829256556,0.26661785913798286,0.03740149488048425,0.281190885464956,0.032042797042545104,0.032042797042545236,0.06605165393977243,0.0660516539397725,0.11023888235101613,0.11023888235101618,5.443745768395101e-08,0.4166666666666676,0.06926338254306555,0.005854262715214964,0.0002644087035496677,6.033753924081732e-06
1114,11142,1.382314626743849,0.9428813567993,0.6921952687819299,0.07345508374441898,0.31719766212659656,0.01049675425253264,0.01049675425253265,0.08817923932943231,0.08817923932943235,0.1096573397513686,0.10965733975136864,1.0301919865161424e-08,0.4166666666666672,0.06689506329565331,0.005097222896971344,0.00018026285875791926,2.3844287747243546e-06
1115,11152,1.2665490706254399,0.7637238043226847,0.49361648271490816,0.06829667722328119,0.3052791147593045,0.01791577320288649,0.017915773202886544,0.0794705978357603,0.07947059783576033,0.11094696229468654,0.11094696229468659,2.495254824587751e-08,0.4166666666666668,0.06785977626330658,0.00541113553004798,0.00021535442544476485,3.863319344066667e-06
1116,11162,1.3998306160293628,0.9822130944947444,0.7646917389719456,0.084125199566355,0.3194241170930619,0.00907934453042896,0.00907934453042913,0.0917864487174601,0.09178644871746014,0.10746754008544432,0.10746754008544436,8.020856435226595e-09,0.41666666666666696,0.06674909671827395,0.005042934914389573,0.00017357899961219233,2.0908784463170967e-06
1117,11172,1.159281702683952,0.6471687953091727,0.38204144097042103,0.08904362456784308,0.29571156092062906,0.023665783848996237,0.023665783848996272,0.0774885176217814,0.07748851762178154,0.10717903186255594,0.10717903186255599,3.8631017958838754e-08,0.4166666666666674,0.06875367099615251,0.005674531586799007,0.00024256184250019664,4.982661017968536e-06
