group_index,source_line,target_line,projective_distance,action_pass
23,10,28,0.0,True
23,11,13,0.0,True
23,12,19,0.0,True
23,13,29,0.0,True
23,14,23,0.0,True
23,15,16,0.0,True
23,16,17,0.0,True
23,17,21,0.0,True
23,18,11,0.0,True
23,19,24,0.0,True
23,20,20,0.0,True
23,21,15,0.0,True
23,22,12,0.0,True
23,23,10,0.0,True
23,24,22,0.0,True
23,25,27,0.0,True
23,26,26,0.0,True
23,27,25,0.0,True
23,28,14,0.0,True
23,29,18,0.0,True
24,0,7,0.0,True
24,1,4,0.0,True
24,2,3,0.0,True
24,3,2,0.0,True
24,4,1,0.0,True
24,5,5,0.0,True
24,6,9,0.0,True
24,7,0,0.0,True
24,8,8,0.0,True
24,9,6,0.0,True
24,10,14,0.0,True
24,11,11,0.0,True
24,12,12,2.1073424255447017e-08,True
24,13,17,0.0,True
24,14,10,0.0,True
24,15,22,0.0,True
24,16,25,0.0,True
24,17,13,0.0,True
24,18,19,0.0,True
24,19,18,0.0,True
24,20,29,0.0,True
24,21,21,0.0,True
24,22,15,0.0,True
24,23,23,0.0,True
24,24,27,0.0,True
24,25,16,0.0,True
24,26,28,0.0,True
24,27,24,0.0,True
24,28,26,0.0,True
24,29,20,0.0,True
25,0,5,0.0,True
25,1,0,0.0,True
25,2,8,0.0,True
25,3,9,0.0,True
25,4,1,0.0,True
25,5,7,0.0,True
25,6,2,0.0,True
25,7,4,0.0,True
25,8,3,0.0,True
25,9,6,0.0,True
25,10,14,0.0,True
25,11,16,0.0,True
25,12,29,0.0,True
25,13,17,0.0,True
25,14,26,0.0,True
25,15,22,0.0,True
25,16,19,0.0,True
25,17,20,1.4901161193847656e-08,True
25,18,25,0.0,True
25,19,18,0.0,True
25,20,12,0.0,True
25,21,24,0.0,True
25,22,27,0.0,True
25,23,28,0.0,True
25,24,15,0.0,True
25,25,11,0.0,True
25,26,23,0.0,True
25,27,21,0.0,True
25,28,10,0.0,True
25,29,13,0.0,True
26,0,2,0.0,True
26,1,4,0.0,True
26,2,6,0.0,True
26,3,7,0.0,True
26,4,8,0.0,True
26,5,5,0.0,True
26,6,9,0.0,True
26,7,0,0.0,True
26,8,1,0.0,True
26,9,3,0.0,True
26,10,14,0.0,True
26,11,20,0.0,True
26,12,25,0.0,True
26,13,17,0.0,True
26,14,10,0.0,True
26,15,18,0.0,True
26,16,12,1.4901161193847656e-08,True
26,17,15,0.0,True
26,18,19,0.0,True
26,19,22,0.0,True
26,20,29,0.0,True
26,21,27,0.0,True
26,22,13,0.0,True
26,23,26,0.0,True
26,24,21,0.0,True
26,25,24,0.0,True
26,26,28,0.0,True
26,27,16,0.0,True
26,28,23,0.0,True
26,29,11,0.0,True
27,0,5,0.0,True
27,1,0,0.0,True
27,2,1,0.0,True
27,3,9,0.0,True
27,4,8,0.0,True
27,5,2,0.0,True
27,6,7,0.0,True
27,7,4,0.0,True
27,8,6,0.0,True
27,9,3,0.0,True
27,10,14,0.0,True
27,11,24,0.0,True
27,12,29,0.0,True
27,13,17,0.0,True
27,14,23,0.0,True
27,15,18,0.0,True
27,16,19,0.0,True
27,17,11,0.0,True
27,18,12,0.0,True
27,19,22,0.0,True
27,20,25,0.0,True
27,21,16,0.0,True
27,22,21,0.0,True
27,23,28,1.4901161193847656e-08,True
27,24,13,0.0,True
27,25,20,0.0,True
27,26,26,0.0,True
27,27,27,0.0,True
27,28,10,0.0,True
27,29,15,0.0,True
28,0,7,0.0,True
28,1,4,0.0,True
28,2,1,0.0,True
28,3,2,0.0,True
28,4,3,0.0,True
28,5,9,0.0,True
28,6,5,0.0,True
28,7,0,0.0,True
28,8,6,0.0,True
28,9,8,0.0,True
28,10,14,0.0,True
28,11,21,0.0,True
28,12,12,1.4901161193847656e-08,True
28,13,17,0.0,True
28,14,28,0.0,True
28,15,18,0.0,True
28,16,25,0.0,True
28,17,16,1.4901161193847656e-08,True
28,18,29,0.0,True
28,19,22,0.0,True
28,20,19,0.0,True
28,21,11,0.0,True
28,22,24,0.0,True
28,23,23,0.0,True
28,24,20,0.0,True
28,25,13,0.0,True
28,26,10,0.0,True
28,27,15,0.0,True
28,28,26,0.0,True
28,29,27,0.0,True
29,0,9,0.0,True
29,1,0,0.0,True
29,2,6,0.0,True
29,3,5,0.0,True
29,4,3,0.0,True
29,5,7,0.0,True
29,6,2,0.0,True
29,7,4,0.0,True
29,8,1,0.0,True
29,9,8,0.0,True
29,10,14,0.0,True
29,11,13,0.0,True
29,12,19,0.0,True
29,13,17,0.0,True
29,14,26,0.0,True
29,15,18,0.0,True
29,16,29,0.0,True
29,17,27,0.0,True
29,18,25,0.0,True
29,19,22,0.0,True
29,20,12,0.0,True
29,21,15,1.4901161193847656e-08,True
29,22,20,0.0,True
29,23,10,0.0,True
29,24,24,0.0,True
29,25,21,0.0,True
29,26,23,0.0,True
29,27,11,0.0,True
29,28,28,0.0,True
29,29,16,0.0,True
30,0,2,0.0,True
30,1,4,0.0,True
30,2,8,0.0,True
