probe_id,trace_c_squared,quartic_prediction,quartic_residual,directional_c_squared,sextic_prediction,sextic_residual,f_transpose_c_f,s4,f_transpose_c_f_residual
146,2.2821112511297663,2.2821112511297654,8.881784197001252e-16,1.4906430333570102,1.4906430333570098,4.440892098500626e-16,1.1907152431637251,1.1907152431637253,2.220446049250313e-16
147,2.647373610871152,2.6473736108711505,1.3322676295501878e-15,2.0961987175684174,2.0961987175684165,8.881784197001252e-16,1.4297960604489957,1.4297960604489957,0.0
148,2.4478145879378053,2.447814587937805,4.440892098500626e-16,1.7559676247849243,1.755967624784924,2.220446049250313e-16,1.2991756090744417,1.299175609074442,2.220446049250313e-16
149,1.7225450700328093,1.722545070032809,2.220446049250313e-16,0.7298217818287854,0.7298217818287863,8.881784197001252e-16,0.8244537428093538,0.8244537428093538,0.0
150,2.794408565172218,2.7944085651722164,1.7763568394002505e-15,2.351859878620938,2.351859878620937,8.881784197001252e-16,1.5260371214460564,1.5260371214460569,4.440892098500626e-16
151,2.433771239542869,2.433771239542869,0.0,1.7878865003304536,1.7878865003304543,6.661338147750939e-16,1.289983599215939,1.2899835992159385,4.440892098500626e-16
152,2.033282696677183,2.0332826966771833,4.440892098500626e-16,1.145474483621724,1.1454744836217239,2.220446049250313e-16,1.0278456438856716,1.0278456438856716,0.0
153,2.790418996902628,2.790418996902626,1.7763568394002505e-15,2.343411116056705,2.3434111160567026,2.220446049250313e-15,1.5234257676695977,1.523425767669598,2.220446049250313e-16
154,2.327698302273663,2.3276983022736615,1.3322676295501878e-15,1.62277772754727,1.6227777275472697,2.220446049250313e-16,1.2205540402760937,1.2205540402760937,0.0
155,2.814986989854982,2.8149869898549804,1.7763568394002505e-15,2.384468317729101,2.3844683177291,8.881784197001252e-16,1.5395066357838663,1.5395066357838658,4.440892098500626e-16
156,2.0959454838469935,2.0959454838469918,1.7763568394002505e-15,1.1882973446835743,1.188297344683575,6.661338147750939e-16,1.068861286396819,1.068861286396819,0.0
157,2.2301786784871998,2.2301786784871993,4.440892098500626e-16,1.3852683562361798,1.385268356236181,1.1102230246251565e-15,1.1567230137976818,1.1567230137976818,0.0
158,2.4835367710381835,2.4835367710381817,1.7763568394002505e-15,1.8168840642250204,1.81688406422502,4.440892098500626e-16,1.322557401649234,1.3225574016492343,2.220446049250313e-16
159,2.025704488227145,2.025704488227144,8.881784197001252e-16,1.1398387912898342,1.139838791289834,2.220446049250313e-16,1.0228853619911005,1.0228853619911005,0.0
160,2.8016795678368838,2.8016795678368838,0.0,2.3739277481734695,2.3739277481734704,8.881784197001252e-16,1.5307963231902029,1.5307963231902029,0.0
161,2.3146439991069805,2.3146439991069783,2.220446049250313e-15,1.5672470221056005,1.5672470221055999,6.661338147750939e-16,1.212009405476083,1.2120094054760828,2.220446049250313e-16
162,2.039783828788354,2.0397838287883525,1.3322676295501878e-15,1.124362372415044,1.1243623724150438,2.220446049250313e-16,1.0321009303584368,1.0321009303584368,0.0
163,2.1462216840611648,2.1462216840611648,0.0,1.3380549160374042,1.338054916037405,6.661338147750939e-16,1.1017693447188228,1.101769344718823,2.220446049250313e-16
