coefficient_id,monomial,f0_power,f1_power,f2_power,f3_power,determinant_coefficient,candidate_coefficient,residual,coefficient_pass
57,f0^6*f1^5*f2,6,5,1,0,-1.6807670572687115e-07,3.290544462978677e-08,-2.0098215035665792e-07,False
58,f0^6*f1^5*f3,6,5,0,1,-3.4384123195734523e-07,-2.0237811132287146e-07,-1.4146312063447377e-07,False
59,f0^6*f1^4*f2^2,6,4,2,0,1.6102551662344014e-06,2.7347342239464776e-06,-1.1244790577120762e-06,False
60,f0^6*f1^4*f2*f3,6,4,1,1,1.3808148716333274e-06,1.638307544594119e-06,-2.5749267296079155e-07,False
61,f0^6*f1^4*f3^2,6,4,0,2,8.864494587960519e-07,1.9561912919110304e-06,-1.0697418331149785e-06,False
62,f0^6*f1^3*f2^3,6,3,3,0,2.622721927306707e-06,2.9414114742693906e-06,-3.1868954696268344e-07,False
63,f0^6*f1^3*f2^2*f3,6,3,2,1,5.227260968931393e-06,5.28475709332004e-06,-5.7496124388647304e-08,False
64,f0^6*f1^3*f2*f3^2,6,3,1,2,3.7652610496358158e-06,3.895743251490893e-06,-1.304822018550772e-07,False
65,f0^6*f1^3*f3^3,6,3,0,3,1.5254913286024758e-06,1.899839516374977e-06,-3.743481877725012e-07,False
66,f0^6*f1^2*f2^4,6,2,4,0,2.837323023800649e-06,4.027934410254356e-06,-1.1906113864537065e-06,False
67,f0^6*f1^2*f2^3*f3,6,2,3,1,4.148658949622543e-06,4.529704447995524e-06,-3.8104549837298155e-07,False
68,f0^6*f1^2*f2^2*f3^2,6,2,2,2,3.353870197889414e-06,5.504355496823378e-06,-2.1504852989339646e-06,False
69,f0^6*f1^2*f2*f3^3,6,2,1,3,3.474978571800899e-06,3.800654246343738e-06,-3.2567567454283903e-07,False
70,f0^6*f1^2*f3^4,6,2,0,4,2.8958455994273427e-06,4.035049157482243e-06,-1.1392035580549e-06,False
71,f0^6*f1*f2^5,6,1,5,0,1.1634566578568445e-06,1.307170555491474e-06,-1.4371389763462939e-07,False
72,f0^6*f1*f2^4*f3,6,1,4,1,2.953994011320396e-06,2.7667104676380234e-06,1.8728354368237271e-07,False
73,f0^6*f1*f2^3*f3^2,6,1,3,2,1.4478845770300303e-06,1.3380686704487487e-06,1.0981590658128153e-07,False
74,f0^6*f1*f2^2*f3^3,6,1,2,3,1.7237275735291608e-06,1.5890772066793944e-06,1.3465036684976644e-07,False
75,f0^6*f1*f2*f3^4,6,1,1,4,4.211328491206729e-06,4.033526942819854e-06,1.7780154838687501e-07,False
76,f0^6*f1*f3^5,6,1,0,5,1.937693468479059e-06,2.1673954323423154e-06,-2.297019638632563e-07,False
77,f0^6*f2^6,6,0,6,0,3.5252844611365326e-07,7.526946168635183e-07,-4.00166170749865e-07,False
78,f0^6*f2^5*f3,6,0,5,1,2.0822904351155362e-06,2.336849076654626e-06,-2.5455864153908974e-07,False
79,f0^6*f2^4*f3^2,6,0,4,2,4.536317028913295e-06,5.62631413790691e-06,-1.0899971089936152e-06,False
80,f0^6*f2^3*f3^3,6,0,3,3,4.123543391963705e-06,4.495273983514099e-06,-3.7173059155039426e-07,False
81,f0^6*f2^2*f3^4,6,0,2,4,3.630869542472287e-06,4.739857015689585e-06,-1.1089874732172983e-06,False
82,f0^6*f2*f3^5,6,0,1,5,1.6239979625617817e-06,1.838799661228582e-06,-2.1480169866680028e-07,False
83,f0^6*f3^6,6,0,0,6,4.0429695446611313e-07,8.142528108960784e-07,-4.0995585642996526e-07,False
84,f0^5*f1^7,5,7,0,0,4.217722225576616e-09,2.873930227835452e-09,1.3437919977411635e-09,True
85,f0^5*f1^6*f2,5,6,1,0,-2.7198505928272915e-08,-4.051862865225679e-08,1.3320122723983874e-08,False
86,f0^5*f1^6*f3,5,6,0,1,5.376185632972431e-08,3.166881014906254e-08,2.209304618066177e-08,False
87,f0^5*f1^5*f2^2,5,5,2,0,-2.0355202414744885e-07,-2.2660800645999245e-07,2.3055982312543596e-08,False
88,f0^5*f1^5*f2*f3,5,5,1,1,-3.2150752197271525e-07,-2.696848275126699e-07,-5.182269446004533e-08,False
89,f0^5*f1^5*f3^2,5,5,0,2,-2.941523271381694e-07,-3.1283401761100504e-07,1.868169047283565e-08,False
90,f0^5*f1^4*f2^3,5,4,3,0,-4.190121427941078e-07,-4.7172389640669624e-07,5.271175361258842e-08,False
91,f0^5*f1^4*f2^2*f3,5,4,2,1,1.1226895567258489e-06,1.0337014326850477e-06,8.898812404080118e-08,False
92,f0^5*f1^4*f2*f3^2,5,4,1,2,-1.1856008030697899e-07,-1.4629912754481613e-07,2.7739047237837143e-08,False
93,f0^5*f1^4*f3^3,5,4,0,3,-3.5542176792760224e-07,-4.2659873267457326e-07,7.117696474697102e-08,False
94,f0^5*f1^3*f2^4,5,3,4,0,-3.16185500718484e-07,-3.123202120508223e-07,-3.865288667661704e-09,True
95,f0^5*f1^3*f2^3*f3,5,3,3,1,1.5900516294903885e-06,1.779917543170783e-06,-1.8986591368039445e-07,False
96,f0^5*f1^3*f2^2*f3^2,5,3,2,2,2.2984942733910967e-06,2.19863612260986e-06,9.985815078123681e-08,False
97,f0^5*f1^3*f2*f3^3,5,3,1,3,9.239178588264648e-07,1.0034430589421688e-06,-7.952520011570404e-08,False
98,f0^5*f1^3*f3^4,5,3,0,4,-7.643515754409882e-07,-8.626917899625811e-07,9.834021452159299e-08,False
99,f0^5*f1^2*f2^5,5,2,5,0,-6.77159190610308e-07,-7.454473517501902e-07,6.828816113988218e-08,False
100,f0^5*f1^2*f2^4*f3,5,2,4,1,6.88756818768742e-07,5.899300474338154e-07,9.88267713349266e-08,False
101,f0^5*f1^2*f2^3*f3^2,5,2,3,2,-1.0567129471709285e-06,-1.2229865107652476e-06,1.662735635943191e-07,False
102,f0^5*f1^2*f2^2*f3^3,5,2,2,3,8.132731274831077e-07,5.527638748201764e-07,2.6050925266293127e-07,False
103,f0^5*f1^2*f2*f3^4,5,2,1,4,1.3427562277584572e-06,1.4212192001804958e-06,-7.846297242203852e-08,False
104,f0^5*f1^2*f3^5,5,2,0,5,-5.845031611664047e-07,-6.82692321158857e-07,9.818915999245233e-08,False
105,f0^5*f1*f2^6,5,1,6,0,-2.3120698204747787e-07,-2.2445671167432967e-07,-6.750270373148193e-09,False
106,f0^5*f1*f2^5*f3,5,1,5,1,1.2131634042573556e-06,1.3320401798485359e-06,-1.1887677559118026e-07,False
107,f0^5*f1*f2^4*f3^2,5,1,4,2,2.9951814290119038e-06,2.925728206767084e-06,6.945322224481991e-08,False
108,f0^5*f1*f2^3*f3^3,5,1,3,3,6.625927570665987e-07,6.576512887051096e-07,4.941468361489119e-09,True
109,f0^5*f1*f2^2*f3^4,5,1,2,4,1.143180097159863e-06,9.754858436219045e-07,1.6769425353795858e-07,False
110,f0^5*f1*f2*f3^5,5,1,1,5,1.1007533230480542e-06,1.1022701338394088e-06,-1.5168107913546115e-09,True
111,f0^5*f1*f3^6,5,1,0,6,-2.0154159628467412e-07,-2.662172459400127e-07,6.467564965533855e-08,False
112,f0^5*f2^7,5,0,7,0,-1.3630265438496093e-07,-1.6735387370253653e-07,3.1051219317575606e-08,False
113,f0^5*f2^6*f3,5,0,6,1,-5.397361943263032e-07,-5.453464211623754e-07,5.6102268360721634e-09,False
114,f0^5*f2^5*f3^2,5,0,5,2,-1.5896688265971737e-07,-1.663181758399512e-07,7.351293180233816e-09,False
115,f0^5*f2^4*f3^3,5,0,4,3,9.96736058387411e-07,8.93082868722825e-07,1.0365318966458595e-07,False
116,f0^5*f2^3*f3^4,5,0,3,4,2.6943002714718536e-07,2.5732720943383373e-07,1.2102817713351624e-08,False
117,f0^5*f2^2*f3^5,5,0,2,5,1.075662038871837e-06,9.636118902985002e-07,1.1205014857333665e-07,False
118,f0^5*f2*f3^6,5,0,1,6,2.9407633794748597e-07,3.067602374939903e-07,-1.2683899546504321e-08,False
119,f0^5*f3^7,5,0,0,7,-2.425483044708369e-08,-3.3037063281580457e-08,8.782232834496767e-09,False
120,f0^4*f1^8,4,8,0,0,1.157623396838026e-08,2.2403422729771308e-07,-2.1245799332933283e-07,False
