row,column,row_monomial,column_monomial,projector_entry,best_rational_entry
42,25,f1^2*f2^2*f3,f0*f1^2*f3^2,-0.001096329455417759,-0.0010963294048196327
42,26,f1^2*f2^2*f3,f0*f1*f2^3,-0.0049680524257546075,-0.00496805246713767
42,27,f1^2*f2^2*f3,f0*f1*f2^2*f3,-0.0024891325360471865,-0.002489132591403474
42,28,f1^2*f2^2*f3,f0*f1*f2*f3^2,-0.003608695470411415,-0.003608695652173913
42,29,f1^2*f2^2*f3,f0*f1*f3^3,-0.005427620328045893,-0.0054276201706318925
42,30,f1^2*f2^2*f3,f0*f2^4,-0.0007378761902601165,-0.0007378762827432601
42,31,f1^2*f2^2*f3,f0*f2^3*f3,-0.00876828900024824,-0.00876828888658296
42,32,f1^2*f2^2*f3,f0*f2^2*f3^2,-0.003953632244247091,-0.0039536322315160966
42,33,f1^2*f2^2*f3,f0*f2*f3^3,-0.006227588220923651,-0.006227588215795976
42,34,f1^2*f2^2*f3,f0*f3^4,0.004917822648871387,0.0049178227020792616
42,35,f1^2*f2^2*f3,f1^5,0.003908482516003133,0.003908482513228001
42,36,f1^2*f2^2*f3,f1^4*f2,0.004163826572442834,0.004163826571437039
42,37,f1^2*f2^2*f3,f1^4*f3,0.006482064628400322,0.006482064863364053
42,38,f1^2*f2^2*f3,f1^3*f2^2,0.009632539020923203,0.009632540143936812
42,39,f1^2*f2^2*f3,f1^3*f2*f3,0.009893047521440145,0.009893048128342246
42,40,f1^2*f2^2*f3,f1^3*f3^2,0.006944334224959965,0.006944334342745708
42,41,f1^2*f2^2*f3,f1^2*f2^3,0.017047581350172092,0.01704758136102585
42,42,f1^2*f2^2*f3,f1^2*f2^2*f3,0.017282213317590486,0.01728221322166541
43,0,f1^2*f2*f3^2,f0^5,0.004649650725625527,0.004649650922863846
43,1,f1^2*f2*f3^2,f0^4*f1,0.0005063472727049347,0.0005063474266700423
43,2,f1^2*f2*f3^2,f0^4*f2,0.013627671775607761,0.01362767167719604
43,3,f1^2*f2*f3^2,f0^4*f3,-0.022652122577156313,-0.02265212268632891
43,4,f1^2*f2*f3^2,f0^3*f1^2,0.0011145923362229186,0.0011145924926003444
