start_id,s4,axis_s4_gap,projective_distance_to_axis_register,success,status,message,iteration_count,evaluation_count,f0,f1,f2,f3
23,1.5972222222222208,1.5543122344752192e-15,2.5809568279517847e-08,False,2,Desired error not necessarily achieved due to precision loss.,10,166,0.6779376625038361,-0.16648447053476098,0.6666666878188793,-0.2612259064147359
24,1.597222222222222,2.220446049250313e-16,2.5809568279517847e-08,False,2,Desired error not necessarily achieved due to precision loss.,13,332,-0.6623824238133993,0.7282103721391965,-0.1666666651271117,-0.05640391180925866
25,1.5972222222222219,4.440892098500626e-16,5.1619136559035694e-08,False,2,Desired error not necessarily achieved due to precision loss.,17,105,9.563918199832333e-10,-3.1113807332953595e-08,0.9999999999999987,-4.0086598685490064e-08
26,1.5972222222222203,1.9984014443252818e-15,2.9802322387695312e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,287,-0.055598184299288464,0.9284162845740339,0.16666669253583466,0.3273747975020904
27,1.597222222222221,1.3322676295501878e-15,2.1073424255447017e-08,False,2,Desired error not necessarily achieved due to precision loss.,17,292,0.62233948382029,0.7619318268386667,-0.16666667588977183,0.06614890230715113
28,1.5972222222222214,8.881784197001252e-16,4.2146848510894035e-08,False,2,Desired error not necessarily achieved due to precision loss.,15,236,2.6927698387729293e-08,-2.6654404436781775e-08,0.9999999999999991,-2.5370535611262584e-08
29,1.5972222222222225,-2.220446049250313e-16,2.9802322387695312e-08,False,2,Desired error not necessarily achieved due to precision loss.,13,85,0.5912289066579294,-0.3615200025288972,-0.16666665312290008,0.7014085075335104
30,1.5972222222222214,8.881784197001252e-16,3.942476676500724e-08,False,2,Desired error not necessarily achieved due to precision loss.,10,197,0.6934929840786314,0.3952414652487658,0.166666681046068,-0.5788556664755147
31,1.597222222222221,1.3322676295501878e-15,3.942476676500724e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,90,0.6934929730791557,0.39524141251717004,0.16666669110940183,-0.5788557127608822
32,1.5972222222222232,-8.881784197001252e-16,2.9802322387695312e-08,False,2,Desired error not necessarily achieved due to precision loss.,13,145,-2.8327693860190187e-08,-8.978055993662639e-09,0.9999999999999996,-1.3205799329147644e-08
33,1.5972222222222208,1.5543122344752192e-15,3.942476676500724e-08,False,2,Desired error not necessarily achieved due to precision loss.,16,95,-0.05559819261465573,0.9284163100721494,0.16666663638894333,0.32737475236308916
34,1.5972222222222223,0.0,2.1073424255447017e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,117,-0.6067842272798409,-0.2002058995652697,0.6666666466328425,-0.3837786882709724
35,1.5972222222222234,-1.1102230246251565e-15,1.4901161193847656e-08,False,2,Desired error not necessarily achieved due to precision loss.,19,130,0.5912289161993739,-0.3615199995314623,-0.16666667688148706,0.701408495390359
36,1.5972222222222232,-8.881784197001252e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,21,242,-0.07115347411952129,0.3666903769885123,0.6666666625666442,0.6450045825937964
37,1.5972222222222225,-2.220446049250313e-16,2.9802322387695312e-08,False,2,Desired error not necessarily achieved due to precision loss.,10,65,-0.08670873739740897,-0.19503555824898727,0.16666664916781332,0.962634382272224
38,1.597222222222223,-6.661338147750939e-16,3.942476676500724e-08,False,2,Desired error not necessarily achieved due to precision loss.,17,90,-2.0983519287723014e-08,-1.1960829116248261e-08,0.9999999999999992,-2.9841334362923796e-08
39,1.5972222222222223,0.0,3.650024149988857e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,110,-0.07115347842662344,0.3666903424964151,0.6666666752064867,0.6450045886633543
40,1.5972222222222177,4.6629367034256575e-15,8.688795409866125e-08,False,2,Desired error not necessarily achieved due to precision loss.,13,70,-0.0711534610502827,0.3666904381712157,0.6666666856097366,0.6450045254356715
41,1.597222222222221,1.3322676295501878e-15,3.332000937312528e-08,False,2,Desired error not necessarily achieved due to precision loss.,9,60,0.6779376940071712,-0.16648444889542857,0.6666666574270231,-0.2612259160100788
42,1.59722222222222,2.220446049250313e-15,5.1619136559035694e-08,False,2,Desired error not necessarily achieved due to precision loss.,17,145,0.5912289280299357,-0.3615199653171864,-0.16666666966688165,0.7014085047672178
43,1.5972222222222232,-8.881784197001252e-16,2.9802322387695312e-08,False,2,Desired error not necessarily achieved due to precision loss.,11,65,2.4944753416606252e-09,1.4340318266779845e-08,0.9999999999999996,2.29884691531399e-08
44,1.5972222222222139,8.43769498715119e-15,9.8843121241194e-08,False,2,Desired error not necessarily achieved due to precision loss.,19,135,-0.07115343727603485,0.3666904151285582,0.6666667151389397,0.6450045106373342
45,1.597222222222222,2.220446049250313e-16,2.9802322387695312e-08,False,2,Desired error not necessarily achieved due to precision loss.,14,100,-0.6623824213730427,0.7282103742804453,-0.1666666630226755,-0.05640391904118327
46,1.5972222222222223,0.0,3.332000937312528e-08,False,2,Desired error not necessarily achieved due to precision loss.,18,330,-0.6067842191762429,-0.2002058650444516,0.6666666630006624,-0.38377869065913695
47,1.5972222222222228,-4.440892098500626e-16,2.9802322387695312e-08,False,2,Desired error not necessarily achieved due to precision loss.,13,250,-5.0001838433095365e-09,-5.957001860633203e-10,0.9999999999999996,3.23530959329049e-08
48,1.5972222222222219,4.440892098500626e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,14,125,-0.05559819827290968,0.9284163003665872,0.1666666549934375,0.32737476945501437
49,1.5972222222222179,4.440892098500626e-15,8.024520884654677e-08,False,2,Desired error not necessarily achieved due to precision loss.,14,80,-0.08670881325205033,-0.19503558511557423,0.1666666240028393,0.9626343743532862
50,1.597222222222223,-6.661338147750939e-16,2.1073424255447017e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,217,-0.08670873691981627,-0.19503553067368046,0.16666667354136452,0.9626343836822276
51,1.5972222222222208,1.5543122344752192e-15,4.2146848510894035e-08,False,2,Desired error not necessarily achieved due to precision loss.,16,120,0.6779377119101426,-0.16648448451626766,0.6666666348544807,-0.26122590445282334
52,1.5972222222222225,-2.220446049250313e-16,3.332000937312528e-08,False,2,Desired error not necessarily achieved due to precision loss.,16,317,-0.08670874333526216,-0.195035566519301,0.16666664249066118,0.9626343812178149
53,1.5972222222222208,1.5543122344752192e-15,3.332000937312528e-08,False,2,Desired error not necessarily achieved due to precision loss.,13,90,0.693492966818375,0.39524141824824305,0.1666666650148254,-0.578855723861656
54,1.5972222222222223,0.0,3.332000937312528e-08,False,2,Desired error not necessarily achieved due to precision loss.,10,75,-0.6067842177715362,-0.20020593291741579,0.6666666589292511,-0.3837786645452836
55,1.5972222222222194,2.886579864025407e-15,7.598131170262075e-08,False,2,Desired error not necessarily achieved due to precision loss.,22,467,-0.6067842434565528,-0.20020594946417575,0.6666666135218914,-0.3837786941809825
56,1.597222222222222,2.220446049250313e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,11,267,-0.055598203245605576,0.9284162988819047,0.1666666631167083,0.3273747686854133
57,1.5972222222222225,-2.220446049250313e-16,1.4901161193847656e-08,False,2,Desired error not necessarily achieved due to precision loss.,17,120,-0.0867087597481399,-0.1950355286437683,0.16666668285707742,0.9626343804243663
58,1.597222222222223,-6.661338147750939e-16,1.4901161193847656e-08,False,2,Desired error not necessarily achieved due to precision loss.,10,65,-0.6067842227574113,-0.20020590509070502,0.6666666486461249,-0.38377868904153634
59,1.5972222222222228,-4.440892098500626e-16,1.4901161193847656e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,115,-0.08670876877094733,-0.19503555734155065,0.16666665070172149,0.9626343793645475
60,1.5972222222222223,0.0,2.5809568279517847e-08,False,2,Desired error not necessarily achieved due to precision loss.,14,185,-0.08670878934311797,-0.19503553550363228,0.1666666653539121,0.9626343793991929
61,1.597222222222223,-6.661338147750939e-16,2.5809568279517847e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,257,-0.6067842068888966,-0.20020587253448724,0.6666666724845755,-0.38377868970444595
62,1.597222222222222,2.220446049250313e-16,2.5809568279517847e-08,False,2,Desired error not necessarily achieved due to precision loss.,15,90,-0.08670876982303313,-0.19503552981960776,0.16666669033637257,0.9626343779837082
63,1.5972222222222208,1.5543122344752192e-15,4.470348358154297e-08,False,2,Desired error not necessarily achieved due to precision loss.,11,152,-0.055598214381596955,0.928416310000112,0.1666666393685279,0.32737474735378586
